Día;coeficientes
1;0,0029969601
2;0,0029314995
3;0,0029471168
4;0,0029805908
5;0,0029805908
6;0,0029805908
7;0,0030138964
8;0,0029969601
9;0,0029314995
10;0,0029471168
11;0,0029805908
12;0,0029805908
13;0,0029805908
14;0,0030138964
15;0,0029969601
16;0,0029314995
17;0,0029471168
18;0,0029805908
19;0,0029805908
20;0,0029805908
21;0,0030138964
22;0,0029969601
23;0,0029314995
24;0,0029471168
25;0,0029805908
26;0,0029805908
27;0,0029805908
28;0,0030138964
29;0,0029969601
30;0,0028362016
31;0,0029471168
