Día;coeficientes
1;0,0026362325
2;0,0026359049
3;0,0026620573
4;0,0026620573
5;0,0026620573
6;0,0026858021
7;0,0026650949
8;0,0026362325
9;0,0026359049
10;0,0026620573
11;0,0026620573
12;0,0026620573
13;0,0026858021
14;0,0026650949
15;0,0026362325
16;0,0026359049
17;0,0026620573
18;0,0026620573
19;0,0026620573
20;0,0026858021
21;0,0026650949
22;0,0026362325
23;0,0026359049
24;0,0026620573
25;0,0026620573
26;0,0026620573
27;0,0026858021
28;0,0026650949
29;0,0026362325
30;0,0026359049
