Día;coeficientes
1;0,0026359049
2;0,0026355773
3;0,0026355773
4;0,0026355773
5;0,0026522857
6;0,0026344557
7;0,0026048545
8;0,0026359049
9;0,0026355773
10;0,0026355773
11;0,0026355773
12;0,0026522857
13;0,0026344557
14;0,0026048545
15;0,0026359049
16;0,0026355773
17;0,0026355773
18;0,0026355773
19;0,0026522857
20;0,0026344557
21;0,0026048545
22;0,0026359049
23;0,0026355773
24;0,0026355773
25;0,0026355773
26;0,0026522857
27;0,0026344557
28;0,0026048545
29;0,0026359049
30;0,0026355773
