Día;coeficientes
1;0,0032049195
2;0,0033061559
3;0,0033621406
4;0,0034079831
5;0,0034079831
6;0,0034079831
7;0,0034444530
8;0,0032049195
9;0,0033061559
10;0,0033621406
11;0,0034079831
12;0,0034079831
13;0,0034079831
14;0,0034444530
15;0,0032049195
16;0,0033061559
17;0,0033621406
18;0,0034079831
19;0,0034079831
20;0,0034079831
21;0,0034444530
22;0,0032049195
23;0,0033061559
24;0,0033621406
25;0,0034079831
26;0,0034079831
27;0,0034079831
28;0,0034444530
