Día;coeficientes
1;0,0025700779
2;0,0025700779
3;0,0025700779
4;0,0026210214
5;0,0024976451
6;0,0024765796
7;0,0025492147
8;0,0025700779
9;0,0025700779
10;0,0025700779
11;0,0026210214
12;0,0024976451
13;0,0024765796
14;0,0025492147
15;0,0025700779
16;0,0025700779
17;0,0025700779
18;0,0024765796
19;0,0024976451
20;0,0024765796
21;0,0025492147
22;0,0025700779
23;0,0025700779
24;0,0025700779
25;0,0026210214
26;0,0024976451
27;0,0024765796
28;0,0025492147
29;0,0025700779
30;0,0025700779
