Día;coeficientes
1;0,0032873117
2;0,0033620942
3;0,0033620942
4;0,0033620942
5;0,0033967882
6;0,0034988713
7;0,0034988713
8;0,0034988713
9;0,0033620942
10;0,0033620942
11;0,0033620942
12;0,0033967882
13;0,0034873428
14;0,0034988713
15;0,0032873117
16;0,0033620942
17;0,0033620942
18;0,0033620942
19;0,0033967882
20;0,0034873428
21;0,0034988713
22;0,0032873117
23;0,0033620942
24;0,0033620942
25;0,0034988713
26;0,0033967882
27;0,0034873428
28;0,0034988713
29;0,0032873117
30;0,0033620942
31;0,0033620942
