Mes;coeficientes
1;3,450531557000001
2;3,109337581
3;2,9091698290000003
4;2,7110901630000004
5;2,6128793030000003
6;2,8649851610000004
7;3,677329971000001
8;3,6650453390000007
9;2,8238122390000003
10;2,630869688
11;2,9901594950000003
12;3,607865223
