Día;coeficientes
1;0,0028796856
2;0,0028796856
3;0,0028882582
4;0,0029091879
5;0,0029091879
6;0,0029091879
7;0,0029307772
8;0,0029891041
9;0,0028796856
10;0,0028882582
11;0,0029091879
12;0,0029091879
13;0,0029091879
14;0,0029307772
15;0,0029891041
16;0,0028796856
17;0,0028882582
18;0,0029091879
19;0,0029091879
20;0,0029091879
21;0,0029307772
22;0,0029891041
23;0,0028796856
24;0,0028882582
25;0,0029091879
26;0,0029091879
27;0,0029091879
28;0,0029307772
29;0,0029891041
30;0,0028796856
