Mes;Día;Hora;coeficientes
1;9;23;0,000178740107
1;9;24;0,000147180030
1;10;1;0,000123248080
1;10;2;0,000102415849
1;10;3;0,000090421535
1;10;4;0,000084368676
1;10;5;0,000082326301
1;10;6;0,000084888554
1;10;7;0,000096660064
1;10;8;0,000122245459
1;10;9;0,000134573980
1;10;10;0,000141777996
1;10;11;0,000148350732
1;10;12;0,000147979391
1;10;13;0,000149130548
1;10;14;0,000157002977
1;10;15;0,000161941812
1;10;16;0,000155034870
1;10;17;0,000148610670
1;10;18;0,000149687559
1;10;19;0,000165172479
1;10;20;0,000180137522
1;10;21;0,000190497936
1;10;22;0,000194434150
1;10;23;0,000178726426
1;10;24;0,000154069383
1;11;1;0,000130934838
1;11;2;0,000109694133
1;11;3;0,000095620309
1;11;4;0,000087933550
1;11;5;0,000084405810
1;11;6;0,000084591481
1;11;7;0,000088193489
1;11;8;0,000097402746
1;11;9;0,000112330654
1;11;10;0,000138918670
1;11;11;0,000157151513
1;11;12;0,000160270778
1;11;13;0,000159639498
1;11;14;0,000167549061
1;11;15;0,000170519790
1;11;16;0,000156854441
1;11;17;0,000146419758
1;11;18;0,000144934394
1;11;19;0,000159750900
1;11;20;0,000173564786
1;11;21;0,000183331054
1;11;22;0,000188492694
1;11;23;0,000174418870
1;11;24;0,000152435483
1;12;1;0,000131077512
1;12;2;0,000112502644
1;12;3;0,000097819038
1;12;4;0,000088703594
1;12;5;0,000083952384
1;12;6;0,000082705460
1;12;7;0,000084489851
1;12;8;0,000089649536
1;12;9;0,000098055524
1;12;10;0,000121489096
1;12;11;0,000144836673
1;12;12;0,000155113047
1;12;13;0,000158144362
1;12;14;0,000165668903
1;12;15;0,000166292365
1;12;16;0,000149716876
1;12;17;0,000140278951
1;12;18;0,000140816418
1;12;19;0,000160530716
1;12;20;0,000177944655
1;12;21;0,000190542887
1;12;22;0,000191574825
1;12;23;0,000171237064
1;12;24;0,000142987786
1;13;1;0,000117436593
1;13;2;0,000097858965
1;13;3;0,000087063551
1;13;4;0,000081636668
1;13;5;0,000079798530
1;13;6;0,000082453618
1;13;7;0,000094532810
1;13;8;0,000120529333
1;13;9;0,000131937459
1;13;10;0,000137743641
1;13;11;0,000144833602
1;13;12;0,000145008662
1;13;13;0,000146788447
1;13;14;0,000155424778
1;13;15;0,000160151418
1;13;16;0,000152448745
1;13;17;0,000145212900
1;13;18;0,000147167745
1;13;19;0,000165140650
1;13;20;0,000185885350
1;13;21;0,000201786702
1;13;22;0,000203128835
1;13;23;0,000179233041
1;13;24;0,000146088204
1;14;1;0,000120338916
1;14;2;0,000099753921
1;14;3;0,000088241372
1;14;4;0,000082447475
1;14;5;0,000080555591
1;14;6;0,000083103185
1;14;7;0,000095217697
1;14;8;0,000120779639
1;14;9;0,000132410430
1;14;10;0,000138537557
1;14;11;0,000144750678
1;14;12;0,000144363702
1;14;13;0,000146115845
1;14;14;0,000154887310
1;14;15;0,000159294542
1;14;16;0,000151501267
1;14;17;0,000144944166
1;14;18;0,000147115534
1;14;19;0,000164765958
1;14;20;0,000184329766
1;14;21;0,000199271355
1;14;22;0,000200797762
1;14;23;0,000178740107
1;14;24;0,000147180030
1;15;1;0,000120338916
1;15;2;0,000099753921
1;15;3;0,000088241372
1;15;4;0,000082447475
1;15;5;0,000080555591
1;15;6;0,000083103185
1;15;7;0,000095217697
1;15;8;0,000120779639
1;15;9;0,000132410430
1;15;10;0,000138537557
1;15;11;0,000144750678
1;15;12;0,000144363702
1;15;13;0,000146115845
1;15;14;0,000154887310
1;15;15;0,000159294542
1;15;16;0,000151501267
1;15;17;0,000144944166
1;15;18;0,000147115534
1;15;19;0,000164765958
1;15;20;0,000184329766
1;15;21;0,000199271355
1;15;22;0,000200797762
1;15;23;0,000178740107
1;15;24;0,000147180030
1;16;1;0,000120338916
1;16;2;0,000099753921
1;16;3;0,000088241372
1;16;4;0,000082447475
1;16;5;0,000080555591
1;16;6;0,000083103185
1;16;7;0,000095217697
1;16;8;0,000120779639
1;16;9;0,000132410430
1;16;10;0,000138537557
1;16;11;0,000144750678
1;16;12;0,000144363702
1;16;13;0,000146115845
1;16;14;0,000154887310
1;16;15;0,000159294542
1;16;16;0,000151501267
1;16;17;0,000144944166
1;16;18;0,000147115534
1;16;19;0,000164765958
1;16;20;0,000184329766
1;16;21;0,000199271355
1;16;22;0,000200797762
1;16;23;0,000178740107
1;16;24;0,000147180030
1;17;1;0,000123248080
1;17;2;0,000102415849
1;17;3;0,000090421535
1;17;4;0,000084368676
1;17;5;0,000082326301
1;17;6;0,000084888554
1;17;7;0,000096660064
1;17;8;0,000122245459
1;17;9;0,000134573980
1;17;10;0,000141777996
1;17;11;0,000148350732
1;17;12;0,000147979391
1;17;13;0,000149130548
1;17;14;0,000157002977
1;17;15;0,000161941812
1;17;16;0,000155034870
1;17;17;0,000148610670
1;17;18;0,000149687559
1;17;19;0,000165172479
1;17;20;0,000180137522
1;17;21;0,000190497936
1;17;22;0,000194434150
1;17;23;0,000178726426
1;17;24;0,000154069383
1;18;1;0,000130934838
1;18;2;0,000109694133
1;18;3;0,000095620309
1;18;4;0,000087933550
1;18;5;0,000084405810
1;18;6;0,000084591481
1;18;7;0,000088193489
1;18;8;0,000097402746
1;18;9;0,000112330654
1;18;10;0,000138918670
1;18;11;0,000157151513
1;18;12;0,000160270778
1;18;13;0,000159639498
1;18;14;0,000167549061
1;18;15;0,000170519790
1;18;16;0,000156854441
1;18;17;0,000146419758
1;18;18;0,000144934394
1;18;19;0,000159750900
1;18;20;0,000173564786
1;18;21;0,000183331054
1;18;22;0,000188492694
1;18;23;0,000174418870
1;18;24;0,000152435483
1;19;1;0,000131077512
1;19;2;0,000112502644
1;19;3;0,000097819038
1;19;4;0,000088703594
1;19;5;0,000083952384
1;19;6;0,000082705460
1;19;7;0,000084489851
1;19;8;0,000089649536
1;19;9;0,000098055524
1;19;10;0,000121489096
1;19;11;0,000144836673
1;19;12;0,000155113047
1;19;13;0,000158144362
1;19;14;0,000165668903
1;19;15;0,000166292365
1;19;16;0,000149716876
1;19;17;0,000140278951
1;19;18;0,000140816418
1;19;19;0,000160530716
1;19;20;0,000177944655
1;19;21;0,000190542887
1;19;22;0,000191574825
1;19;23;0,000171237064
1;19;24;0,000142987786
1;20;1;0,000117436593
1;20;2;0,000097858965
1;20;3;0,000087063551
1;20;4;0,000081636668
1;20;5;0,000079798530
1;20;6;0,000082453618
1;20;7;0,000094532810
1;20;8;0,000120529333
1;20;9;0,000131937459
1;20;10;0,000137743641
1;20;11;0,000144833602
1;20;12;0,000145008662
1;20;13;0,000146788447
1;20;14;0,000155424778
1;20;15;0,000160151418
1;20;16;0,000152448745
1;20;17;0,000145212900
1;20;18;0,000147167745
1;20;19;0,000165140650
1;20;20;0,000185885350
1;20;21;0,000201786702
1;20;22;0,000203128835
1;20;23;0,000179233041
1;20;24;0,000146088204
1;21;1;0,000120338916
1;21;2;0,000099753921
1;21;3;0,000088241372
1;21;4;0,000082447475
1;21;5;0,000080555591
1;21;6;0,000083103185
1;21;7;0,000095217697
1;21;8;0,000120779639
1;21;9;0,000132410430
1;21;10;0,000138537557
1;21;11;0,000144750678
1;21;12;0,000144363702
1;21;13;0,000146115845
1;21;14;0,000154887310
1;21;15;0,000159294542
1;21;16;0,000151501267
1;21;17;0,000144944166
1;21;18;0,000147115534
1;21;19;0,000164765958
1;21;20;0,000184329766
1;21;21;0,000199271355
1;21;22;0,000200797762
1;21;23;0,000178740107
1;21;24;0,000147180030
1;22;1;0,000120338916
1;22;2;0,000099753921
1;22;3;0,000088241372
1;22;4;0,000082447475
1;22;5;0,000080555591
1;22;6;0,000083103185
1;22;7;0,000095217697
1;22;8;0,000120779639
1;22;9;0,000132410430
1;22;10;0,000138537557
1;22;11;0,000144750678
1;22;12;0,000144363702
1;22;13;0,000146115845
1;22;14;0,000154887310
1;22;15;0,000159294542
1;22;16;0,000151501267
1;22;17;0,000144944166
1;22;18;0,000147115534
1;22;19;0,000164765958
1;22;20;0,000184329766
1;22;21;0,000199271355
1;22;22;0,000200797762
1;22;23;0,000178740107
1;22;24;0,000147180030
1;23;1;0,000120338916
1;23;2;0,000099753921
1;23;3;0,000088241372
1;23;4;0,000082447475
1;23;5;0,000080555591
1;23;6;0,000083103185
1;23;7;0,000095217697
1;23;8;0,000120779639
1;23;9;0,000132410430
1;23;10;0,000138537557
1;23;11;0,000144750678
1;23;12;0,000144363702
1;23;13;0,000146115845
1;23;14;0,000154887310
1;23;15;0,000159294542
1;23;16;0,000151501267
1;23;17;0,000144944166
1;23;18;0,000147115534
1;23;19;0,000164765958
1;23;20;0,000184329766
1;23;21;0,000199271355
1;23;22;0,000200797762
1;23;23;0,000178740107
1;23;24;0,000147180030
1;24;1;0,000123248080
1;24;2;0,000102415849
1;24;3;0,000090421535
1;24;4;0,000084368676
1;24;5;0,000082326301
1;24;6;0,000084888554
1;24;7;0,000096660064
1;24;8;0,000122245459
1;24;9;0,000134573980
1;24;10;0,000141777996
1;24;11;0,000148350732
1;24;12;0,000147979391
1;24;13;0,000149130548
1;24;14;0,000157002977
1;24;15;0,000161941812
1;24;16;0,000155034870
1;24;17;0,000148610670
1;24;18;0,000149687559
1;24;19;0,000165172479
1;24;20;0,000180137522
1;24;21;0,000190497936
1;24;22;0,000194434150
1;24;23;0,000178726426
1;24;24;0,000154069383
1;25;1;0,000130934838
1;25;2;0,000109694133
1;25;3;0,000095620309
1;25;4;0,000087933550
1;25;5;0,000084405810
1;25;6;0,000084591481
1;25;7;0,000088193489
1;25;8;0,000097402746
1;25;9;0,000112330654
1;25;10;0,000138918670
1;25;11;0,000157151513
1;25;12;0,000160270778
1;25;13;0,000159639498
1;25;14;0,000167549061
1;25;15;0,000170519790
1;25;16;0,000156854441
1;25;17;0,000146419758
1;25;18;0,000144934394
1;25;19;0,000159750900
1;25;20;0,000173564786
1;25;21;0,000183331054
1;25;22;0,000188492694
1;25;23;0,000174418870
1;25;24;0,000152435483
1;26;1;0,000131077512
1;26;2;0,000112502644
1;26;3;0,000097819038
1;26;4;0,000088703594
1;26;5;0,000083952384
1;26;6;0,000082705460
1;26;7;0,000084489851
1;26;8;0,000089649536
1;26;9;0,000098055524
1;26;10;0,000121489096
1;26;11;0,000144836673
1;26;12;0,000155113047
1;26;13;0,000158144362
1;26;14;0,000165668903
1;26;15;0,000166292365
1;26;16;0,000149716876
1;26;17;0,000140278951
1;26;18;0,000140816418
1;26;19;0,000160530716
1;26;20;0,000177944655
1;26;21;0,000190542887
1;26;22;0,000191574825
1;26;23;0,000171237064
1;26;24;0,000142987786
1;27;1;0,000117436593
1;27;2;0,000097858965
1;27;3;0,000087063551
1;27;4;0,000081636668
1;27;5;0,000079798530
1;27;6;0,000082453618
1;27;7;0,000094532810
1;27;8;0,000120529333
1;27;9;0,000131937459
1;27;10;0,000137743641
1;27;11;0,000144833602
1;27;12;0,000145008662
1;27;13;0,000146788447
1;27;14;0,000155424778
1;27;15;0,000160151418
1;27;16;0,000152448745
1;27;17;0,000145212900
1;27;18;0,000147167745
1;27;19;0,000165140650
1;27;20;0,000185885350
